Metabolite Clone1 Clone2 log2FC plotContrast
2.134/116.05069 AC9.3 E30 -0.29484 "AC9.3 vs E30"
2.134/116.05069 AC9.1 AC9.3 0.41068 "AC9.1 vs AC9.3"
2.134/116.05069 AC9.2 AC9.3 0.24354 "AC9.2 vs AC9.3"
2.134/116.05069 AC9.1 AC9.2 0.16714 "AC9.1 vs AC9.2"
0.585/116.07215 AC9.1 E30 0.3087 "AC9.1 vs E30"
0.585/116.07215 AC9.2 E30 0.26211 "AC9.2 vs E30"
0.585/116.07215 AC9.3 E30 0.13915 "AC9.3 vs E30"
0.585/116.07215 AC9.1 AC9.3 0.16955 "AC9.1 vs AC9.3"
0.585/116.07215 AC9.2 AC9.3 0.12297 "AC9.2 vs AC9.3"
0.585/116.07215 AC9.1 AC9.2 0.046589 "AC9.1 vs AC9.2"
0.970/116.90670 AC9.1 E30 -0.28615 "AC9.1 vs E30"
0.970/116.90670 AC9.2 E30 -0.32307 "AC9.2 vs E30"
0.970/116.90670 AC9.3 E30 0.84376 "AC9.3 vs E30"
0.970/116.90670 AC9.1 AC9.3 -1.1299 "AC9.1 vs AC9.3"
0.970/116.90670 AC9.2 AC9.3 -1.1668 "AC9.2 vs AC9.3"
0.970/116.90670 AC9.1 AC9.2 0.036922 "AC9.1 vs AC9.2"
0.568/116.97180 AC9.1 E30 -0.50076 "AC9.1 vs E30"
0.568/116.97180 AC9.2 E30 -0.60831 "AC9.2 vs E30"
0.568/116.97180 AC9.3 E30 0.71284 "AC9.3 vs E30"
0.568/116.97180 AC9.1 AC9.3 -1.2136 "AC9.1 vs AC9.3"
0.568/116.97180 AC9.2 AC9.3 -1.3211 "AC9.2 vs AC9.3"
0.568/116.97180 AC9.1 AC9.2 0.10755 "AC9.1 vs AC9.2"
1.069/118.01331 AC9.1 E30 0.35868 "AC9.1 vs E30"
1.069/118.01331 AC9.2 E30 1.3062 "AC9.2 vs E30"
1.069/118.01331 AC9.3 E30 -0.058934 "AC9.3 vs E30"
1.069/118.01331 AC9.1 AC9.3 0.41762 "AC9.1 vs AC9.3"
1.069/118.01331 AC9.2 AC9.3 1.3651 "AC9.2 vs AC9.3"
1.069/118.01331 AC9.1 AC9.2 -0.94748 "AC9.1 vs AC9.2"
0.719/118.03390 AC9.1 E30 0.18228 "AC9.1 vs E30"
0.719/118.03390 AC9.2 E30 0.54451 "AC9.2 vs E30"
0.719/118.03390 AC9.3 E30 -0.015756 "AC9.3 vs E30"
0.719/118.03390 AC9.1 AC9.3 0.19803 "AC9.1 vs AC9.3"
0.719/118.03390 AC9.2 AC9.3 0.56026 "AC9.2 vs AC9.3"
0.719/118.03390 AC9.1 AC9.2 -0.36223 "AC9.1 vs AC9.2"
0.564/118.05129 AC9.1 E30 0.045678 "AC9.1 vs E30"
0.564/118.05129 AC9.2 E30 -0.10973 "AC9.2 vs E30"
0.564/118.05129 AC9.3 E30 -0.15199 "AC9.3 vs E30"
0.564/118.05129 AC9.1 AC9.3 0.19767 "AC9.1 vs AC9.3"
0.564/118.05129 AC9.2 AC9.3 0.042262 "AC9.2 vs AC9.3"
0.564/118.05129 AC9.1 AC9.2 0.15541 "AC9.1 vs AC9.2"
0.970/118.90471 AC9.1 E30 -0.18199 "AC9.1 vs E30"
0.970/118.90471 AC9.2 E30 -0.24334 "AC9.2 vs E30"
0.970/118.90471 AC9.3 E30 0.83769 "AC9.3 vs E30"
0.970/118.90471 AC9.1 AC9.3 -1.0197 "AC9.1 vs AC9.3"
0.970/118.90471 AC9.2 AC9.3 -1.081 "AC9.2 vs AC9.3"
0.970/118.90471 AC9.1 AC9.2 0.061348 "AC9.1 vs AC9.2"
1.053/119.03548 AC9.1 E30 0.16342 "AC9.1 vs E30"
1.053/119.03548 AC9.2 E30 -0.23302 "AC9.2 vs E30"
1.053/119.03548 AC9.3 E30 0.031998 "AC9.3 vs E30"
1.053/119.03548 AC9.1 AC9.3 0.13142 "AC9.1 vs AC9.3"
1.053/119.03548 AC9.2 AC9.3 -0.26502 "AC9.2 vs AC9.3"
1.053/119.03548 AC9.1 AC9.2 0.39644 "AC9.1 vs AC9.2"
0.544/119.94596 AC9.1 E30 -0.92832 "AC9.1 vs E30"
0.544/119.94596 AC9.2 E30 0.53822 "AC9.2 vs E30"
0.544/119.94596 AC9.3 E30 1.2439 "AC9.3 vs E30"
0.544/119.94596 AC9.1 AC9.3 -2.1722 "AC9.1 vs AC9.3"
0.544/119.94596 AC9.2 AC9.3 -0.70564 "AC9.2 vs AC9.3"
0.544/119.94596 AC9.1 AC9.2 -1.4665 "AC9.1 vs AC9.2"
0.971/120.90263 AC9.1 E30 -0.17863 "AC9.1 vs E30"
0.971/120.90263 AC9.2 E30 -0.22478 "AC9.2 vs E30"
0.971/120.90263 AC9.3 E30 1.0195 "AC9.3 vs E30"
0.971/120.90263 AC9.1 AC9.3 -1.1981 "AC9.1 vs AC9.3"
0.971/120.90263 AC9.2 AC9.3 -1.2442 "AC9.2 vs AC9.3"
0.971/120.90263 AC9.1 AC9.2 0.046151 "AC9.1 vs AC9.2"
2.393/121.02984 AC9.1 E30 -0.48302 "AC9.1 vs E30"
2.393/121.02984 AC9.2 E30 -0.6744 "AC9.2 vs E30"
2.393/121.02984 AC9.3 E30 -0.53146 "AC9.3 vs E30"
2.393/121.02984 AC9.1 AC9.3 0.048444 "AC9.1 vs AC9.3"
2.393/121.02984 AC9.2 AC9.3 -0.14294 "AC9.2 vs AC9.3"
2.393/121.02984 AC9.1 AC9.2 0.19138 "AC9.1 vs AC9.2"
0.577/125.01776 AC9.1 E30 0.19049 "AC9.1 vs E30"
