"",f.value,p.value,-log10(p),FDR,Fisher's LSD
4.452/377.05327,10.016,0.0022664,2.6447,0.015708,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - AC9.2; E30 - AC9.2
4.771/332.06992,9.9921,0.0022859,2.6409,0.015778,AC9.2 - AC9.1; AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.960/798.82932,9.9589,0.0023129,2.6358,0.0159,AC9.3 - AC9.1; AC9.3 - AC9.2; AC9.3 - E30; AC9.3 - QC; QC - E30
4.774/312.04478,9.9432,0.0023258,2.6334,0.015925,E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.568/340.02533,9.8597,0.0023959,2.6205,0.016338,AC9.1 - AC9.2; AC9.1 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
4.942/421.24997,9.8384,0.0024142,2.6172,0.016397,AC9.2 - AC9.1; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC; AC9.3 - E30; QC - E30
1.389/103.78715,9.7539,0.0024884,2.6041,0.016834,AC9.2 - AC9.1; AC9.1 - E30; AC9.2 - E30; AC9.2 - QC; AC9.3 - E30
4.481/312.04395,9.7277,0.0025121,2.6,0.016927,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
2.658/469.33638,9.6642,0.0025703,2.59,0.017251,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; AC9.2 - E30; QC - AC9.3
4.666/234.07436,9.6109,0.0026206,2.5816,0.017455,AC9.1 - AC9.3; AC9.1 - E30; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
4.424/124.08594,9.6102,0.0026213,2.5815,0.017455,AC9.2 - AC9.1; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.3; QC - AC9.3
